volume,volume_calc
12.0,10.0
234.0,230.0
26.0,26.0
20.0,16.0
42.0,42.0
242.0,242.0
206.0,204.0
20.0,20.0
41.0,41.0
222.0,222.0
409.0,409.0
266.0,266.0
40.0,30.0
28.0,28.0
0.0,0.0
340.0,340.0
60.0,60.0
300.0,298.0
14.0,14.0
152.0,152.0
315.0,315.0
31.0,30.0
45.0,45.0
311.0,311.0
358.0,358.0
59.0,58.0
30.0,30.0
48.0,45.0
103.0,103.0
286.0,286.0
86.0,86.0
250.0,250.0
344.0,344.0
1495.0,1495.0
147.0,147.0
324.0,324.0
112.0,108.0
552.0,552.0
26.0,26.0
286.0,286.0
199.0,199.0
166.0,166.0
40.0,38.0
386.0,386.0
256.0,252.0
280.0,280.0
566.0,566.0
138.0,126.0
556.0,556.0
611.0,611.0
3.0,3.0
68.0,68.0
1071.0,1071.0
71.0,71.0
192.0,192.0
754.0,752.0
141.0,141.0
256.0,256.0
9.0,9.0
404.0,404.0
50.0,50.0
169.0,169.0
194.0,194.0
360.0,360.0
234.0,234.0
42.0,42.0
861.0,861.0
666.0,666.0
302.0,302.0
141.0,141.0
126.0,126.0
78.0,78.0
133.0,133.0
111.0,111.0
184.0,184.0
75.0,75.0
701.0,701.0
806.0,806.0
450.0,450.0
50.0,46.0
105.0,3.0
30.0,30.0
42.0,42.0
346.0,346.0
6.0,6.0
210.0,210.0
346.0,346.0
634.0,634.0
32.0,30.0
280.0,280.0
100.0,88.0
40.0,40.0
630.0,630.0
109.0,109.0
930.0,916.0
8.0,8.0
390.0,390.0
52.0,52.0
12.0,12.0
448.0,448.0
43.0,43.0
526.0,526.0
162.0,158.0
967.0,967.0
52.0,51.0
223.0,223.0
408.0,408.0
151.0,151.0
44.0,44.0
12.0,12.0
52.0,52.0
62.0,54.0
8.0,8.0
26.0,26.0
475.0,475.0
8.0,8.0
110.0,110.0
252.0,252.0
286.0,286.0
50.0,50.0
646.0,642.0
123.0,123.0
324.0,324.0
82.0,80.0
388.0,388.0
14.0,14.0
746.0,746.0
168.0,168.0
319.0,319.0
174.0,172.0
55.0,52.0
130.0,130.0
60.0,60.0
300.0,300.0
92.0,92.0
618.0,614.0
20.0,20.0
176.0,176.0
172.0,170.0
188.0,188.0
98.0,92.0
145.0,145.0
914.0,886.0
23.0,23.0
179.0,179.0
188.0,188.0
142.0,142.0
119.0,104.0
311.0,311.0
296.0,296.0
367.0,367.0
5.0,5.0
160.0,160.0
1.0,1.0
367.0,367.0
29.0,29.0
69.0,69.0
18.0,18.0
1281.0,1281.0
42.0,42.0
66.0,66.0
772.0,764.0
30.0,30.0
37.0,37.0
224.0,224.0
276.0,276.0
452.0,452.0
60.0,60.0
140.0,123.0
182.0,182.0
5.0,5.0
366.0,366.0
176.0,176.0
137.0,137.0
76.0,74.0
122.0,98.0
338.0,338.0
23.0,23.0
571.0,571.0
218.0,216.0
20.0,20.0
416.0,414.0
64.0,64.0
202.0,202.0
48.0,48.0
308.0,308.0
128.0,128.0
558.0,558.0
241.0,241.0
50.0,50.0
29.0,29.0
14.0,14.0
32.0,32.0
500.0,497.0
836.0,836.0
201.0,201.0
293.0,293.0
342.0,330.0
82.0,80.0
398.0,398.0
194.0,190.0
364.0,364.0
14.0,14.0
132.0,132.0
62.0,62.0
1397.0,1397.0
108.0,108.0
1052.0,1046.0
103.0,103.0
620.0,620.0
60.0,60.0
24.0,24.0
328.0,328.0
329.0,328.0
432.0,432.0
4.0,4.0
0.0,0.0
33.0,33.0
112.0,112.0
2860.0,2817.0
0.0,0.0
82.0,82.0
0.0,0.0
798.0,792.0
236.0,236.0
302.0,302.0
21.0,21.0
49.0,49.0
712.0,706.0
170.0,170.0
292.0,278.0
1307.0,1307.0
128.0,124.0
694.0,688.0
250.0,250.0
68.0,14.0
776.0,776.0
356.0,356.0
92.0,90.0
339.0,339.0
156.0,156.0
234.0,234.0
66.0,60.0
238.0,238.0
56.0,54.0
74.0,74.0
830.0,824.0
252.0,252.0
690.0,690.0
2.0,2.0
428.0,428.0
30.0,30.0
112.0,112.0
156.0,156.0
18.0,16.0
433.0,433.0
205.0,205.0
36.0,36.0
376.0,376.0
50.0,40.0
143.0,141.0
322.0,322.0
108.0,108.0
4860.0,10.0
316.0,316.0
563.0,563.0
650.0,646.0
832.0,832.0
122.0,118.0
972.0,968.0
108.0,108.0
94.0,94.0
543.0,543.0
456.0,456.0
96.0,96.0
0.0,0.0
375.0,375.0
132.0,132.0
6.0,6.0
35.0,35.0
588.0,588.0
362.0,362.0
56.0,56.0
14.0,14.0
254.0,254.0
696.0,696.0
130.0,130.0
214.0,210.0
24.0,24.0
226.0,226.0
184.0,184.0
66.0,64.0
38.0,38.0
84.0,82.0
442.0,442.0
2374.0,104.0
273.0,273.0
42.0,40.0
166.0,166.0
381.0,381.0
10.0,10.0
346.0,346.0
505.0,505.0
251.0,251.0
48.0,48.0
126.0,122.0
20.0,20.0
207.0,207.0
38.0,37.0
124.0,124.0
486.0,484.0
718.0,718.0
46.0,46.0
0.0,0.0
98.0,98.0
224.0,224.0
338.0,338.0
82.0,82.0
66.0,66.0
214.0,214.0
936.0,928.0
589.0,589.0
294.0,294.0
232.0,232.0
310.0,310.0
8.0,8.0
116.0,116.0
58.0,58.0
46.0,46.0
186.0,186.0
102.0,102.0
45.0,44.0
110.0,110.0
34.0,34.0
104.0,102.0
118.0,116.0
22.0,22.0
180.0,175.0
155.0,155.0
1125.0,1125.0
210.0,210.0
73.0,73.0
20.0,20.0
568.0,568.0
60.0,60.0
65.0,65.0
10.0,10.0
79.0,79.0
446.0,446.0
409.0,409.0
120.0,120.0
160.0,160.0
822.0,816.0
43.0,43.0
1048.0,1042.0
72.0,72.0
785.0,785.0
102.0,102.0
596.0,594.0
84.0,84.0
451.0,451.0
